Vehicle_ID,Car_Model,Battery_Type,Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status
1fb46ae8,Tesla Model 3,NMC,75.0,41,390,21.5,0.51,2.22,Aggressive,0.0362,94.6,Healthy
b7ef35aa,Tesla Model 3,NMC,75.0,29,401,18.0,0.62,1.34,Aggressive,0.0333,95.68,Healthy
76cb49e0,Ford Mustang Mach-E,NMC,88.0,71,941,18.4,0.78,1.48,Conservative,0.0526,89.8,Healthy
456a7aef,Ford Mustang Mach-E,NMC,88.0,57,378,10.8,0.61,0.72,Moderate,0.0314,96.29,Healthy
bd758049,Tesla Model 3,NMC,75.0,58,239,30.3,0.89,1.48,Conservative,0.0297,96.75,Healthy
d5f95b58,Hyundai Ioniq 5,NMC,72.6,27,225,20.0,0.35,2.5,Moderate,0.0265,98.07,Healthy
b135d980,Hyundai Ioniq 5,NMC,72.6,49,734,3.2,0.51,0.65,Conservative,0.0401,94.2,Healthy
a99c510d,Hyundai Ioniq 5,NMC,72.6,12,121,27.4,0.29,1.41,Moderate,0.0223,98.76,Healthy
9d628060,Ford Mustang Mach-E,NMC,88.0,40,170,23.7,0.71,1.23,Conservative,0.0236,98.53,Healthy
c06175d3,Wuling Air EV,LFP,26.0,12,100,19.6,0.59,1.5,Conservative,0.0208,100.0,Healthy
923c6da8,Tesla Model 3,NMC,75.0,55,526,25.0,0.75,1.7,Conservative,0.0335,94.76,Healthy
357c23fd,Wuling Air EV,LFP,26.0,51,718,19.9,0.26,1.34,Moderate,0.0288,96.42,Healthy
663f1312,Wuling Air EV,LFP,26.0,66,640,18.1,0.03,0.95,Aggressive,0.0263,96.2,Healthy
ee2a3d36,BYD Atto 3,LFP,60.0,7,102,30.3,0.52,1.84,Aggressive,0.0211,98.95,Healthy
6f170772,Ford Mustang Mach-E,NMC,88.0,55,504,7.3,0.48,0.96,Moderate,0.0324,95.28,Healthy
